Scheme Name,DBT,Economic Distress,Description,Apply Link,min_age,max_age,caste_sc,caste_st,caste_obc,caste_ews,caste_general,caste_bc,caste_sebc,caste_vjnt,caste_sbc,caste_minority,caste_parsi,caste_all,is_farmer,is_student,is_disabled,is_widow,is_pregnant,is_unorganized_worker,is_entrepreneur,is_woman,is_artist,is_exservicemen,is_government,is_orphan,is_elderly,is_journalist,is_ews,is_low_income,income_upper_limit,income_category,sub_categories,primary_category,Residence_Cleaned,Minority_Type,Minority_Cleaned,Disability_Type,Disability_Cleaned,Benefit_Category,Marital_Status_Clean,BPL_Clean,Employment_Status_Clean,Application_Mode_Clean,Scheme_Type_Clean,Location_Clean
Mukhya Mantri Vivah Shagun Yojna,Yes,Yes,"Financial assistance to cover marriage expenses for girls from poor families, widows, destitute women, sports women, and orphans.",https://govtschemes.in/mukhyaN/AmantriN/AvivahN/AshagunN/Ayojana?utm_source=chatgpt.com,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Haryana,No,No,None,No,Financial,Single,Yes,Other,Both,State,Haryana
Dr. Babu Jagjivan Ram Living cum Work Shed Construction Scheme,Yes,Yes,Financial assistance to houseless leather artisans for constructing living cum work sheds.,https://www.myscheme.gov.in/schemes/dbjrlcwscs?utm_source=chatgpt.com,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Unspecified,['Housing'],Housing,Karnataka,No,No,None,No,Financial,All,No,Self-Employed,Both,State,Karnataka
Skill Upgradation Program Karnataka,Yes,Yes,"Skill upgradation training in leather technology, footwear making, and design through reputed institutes.",https://kaushalkar.karnataka.gov.in/en?utm_source=chatgpt.com,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,Karnataka,No,No,None,No,Composite / Multi,All,No,Self-Employed,Both,State,Karnataka
Incentive for the Intra Caste Marriage within SC Community,Yes,No,Incentives for intra-caste marriages within sub-castes of SC and ST communities.,https://swdservices.karnataka.gov.in/SWIncentive/IntraCaste/IntraCasteHAhome.aspx?utm_source=chatgpt.com,18,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Financial Support', 'Social Welfare']",Financial Support,Karnataka,No,No,None,No,Financial,Married,No,Other,Both,State,Karnataka
District Central Cooperative Banks: For Women Entrepreneurs,Yes,Yes,"Loans up to ₹5,00,000 at 12% interest for women entrepreneurs via District Central Cooperative Banks.",https://www.egovtschemes.com/districtN/AcentralN/AcooperativeN/AbanksN/AandN/AthroughN/AitsN/AbranchesN/AforN/AwomenN/Aentrepreneurs/?utm_source=chatgpt.com,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,Unspecified,"['Financial Support', 'Business']",Financial Support,Tamil Nadu,No,No,None,No,Loan,All,No,Self-Employed,Both,State,Tamil Nadu
Mukhya Mantri Shramik Seva Prasuti Sahayata Yojana,Yes,Yes,Maternity support for pregnant unorganized women workers registered with the Labour Department.,https://betul.nic.in/en/scheme/mukhyaN/AmantriN/AshramikN/AsevaN/AprasutiN/AsahayataN/Ayojana/?utm_source=chatgpt.com,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Health'],Health,Madhya Pradesh,No,No,None,No,Financial,Married,No,Other,Both,State,Madhya Pradesh
Vandan Matru Yojana,Yes,Yes,Financial assistance to pregnant and lactating women to promote maternal and child health.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,,EWS,['Health'],Health,Gujarat,No,No,None,No,Financial,Married,Yes,Other,Both,State,Gujarat
Widow Pension Scheme (HPBOCWWB),Yes,Yes,"₹1,500 per month pension for widows of registered construction workers.",N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Himachal Pradesh,No,No,None,No,Pension,Widowed,No,Other,Both,State,Himachal Pradesh
Devnarayan Chhatra Cycle Scheme,Yes,No,Free bicycles to Class 9 girl students from Special Backward Classes to encourage continued education.,N/A,14,15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,"['Financial Support', 'Education']",Financial Support,Rajasthan,No,No,None,No,In Kind,Single,No,Student,Both,State,Rajasthan
Scheme for Relief and Rehabilitation of Women Acid Victims,Yes,Yes,"100% free medical treatment and ₹1,00,000 ad-hoc relief for acid attack victims, reimbursed by the Women and Child Development Department.",N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Haryana,No,No,Unspecified,Yes,Composite / Multi,Single,No,Other,Both,State,Haryana
Financial Assistance to Widower and Unmarried Persons Scheme,Yes,Yes,Financial assistance to unmarried persons and widowers who are unable to sustain themselves.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Haryana,No,No,None,No,Financial,Single,Yes,Other,Both,State,Haryana
Ambedkar DBT Voucher Scheme,Yes,Yes,"₹2,000/month accommodation aid for eligible students from SC, ST, OBC, MBC, and EWS categories.",N/A,18,25,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Rajasthan,No,No,None,No,Financial,Single,Yes,Student,Both,State,Rajasthan
Mahila Samriddhi Yojana,Yes,Yes,Micro-financing loan scheme for women from underprivileged backgrounds to achieve financial independence.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Financial Support'],Financial Support,All India,No,No,None,No,Loan,Single,Yes,Self-Employed,Both,Central,India
Jiyo Parsi Scheme – Medical Assistance,Yes,Yes,"Financial assistance for fertility treatments (IVF, ICSI, surrogacy) for Parsi couples.",N/A,18,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,All India,Parsi,Yes,None,No,Medical,Married,No,Other,Both,Central,India
Jiyo Parsi Scheme – Health of the Community,Yes,Yes,Financial support to eligible Parsi couples for dependent children and elderly care (applicable post-2017-18).,N/A,18,100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500000,General,['Social Welfare'],Social Welfare,All India,Parsi,Yes,None,No,Financial,Married,No,Other,Both,Central,India
RMEWF-Financial Assistance To 100% Disabled Child Of Ex-Servicemen,Yes,Yes,Financial assistance to Ex-Servicemen or widows for the care of their 100% disabled child.,N/A,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,Unspecified,['Disability'],Disability,All India,No,No,Unspecified,Yes,Financial,All,No,Other,Both,Central,India
RMEWF-Financial Assistance For Vocational Training Of Widows Of Ex-Servicemen,Yes,Yes,Financial support for vocational training to widows of Ex-Servicemen for livelihood.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,All India,No,No,None,No,Financial,Widowed,No,Unemployed,Both,Central,India
Coir Vikas Yojana-Skill Upgradation and Mahila Coir Yojana,Yes,Yes,"Skill training, stipend, and self-employment promotion for women in the coir industry under MSME.",N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,All India,No,No,None,No,Composite / Multi,Single,No,Self-Employed,Both,Central,India
Women Scientist Scheme-C,Yes,Yes,One-year Intellectual Property Rights (IPR) training for women scientists aiming to re-enter the workforce through S&T solutions addressing societal challenges.,https://dst.gov.in/callforproposals/applicationsN/AinvitedN/AwomenN/AscientistsN/AselectionN/AunderN/AwiseN/AinternshipN/AiprN/AwiseN/Aipr?utm_source=chatgpt.com,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,All India,No,No,None,No,Composite / Multi,Single,No,Unemployed,Both,Central,India
Mahila Samriddhi Yojana for Minority Community,Yes,Yes,"Loans up to ₹1,00,000 for women entrepreneurs from minority communities through SHGs.",N/A,18,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,Unspecified,['Financial Support'],Financial Support,Haryana,Yes (Unspecified),Yes,None,No,Loan,Single,No,Self-Employed,Both,State,Haryana
Construction of Hostels for OBC Boys and Girls,No,No,Hostel facilities to OBC students from rural areas to support secondary and higher education.,N/A,12,25,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Infrastructure'],Infrastructure,All India,No,No,None,No,Other,Single,No,Student,Both,Central,India
Mukhyamantri Mahila Udyami Yojana,Yes,Yes,"Financial assistance up to ₹10,00,000 to promote women entrepreneurship among youth in Bihar.",N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,"['Women Welfare', 'Business']",Women Welfare,Bihar,No,No,None,No,Financial,Single,No,Self-Employed,Both,State,Bihar
Savitribai Phule Scholarship For V.J.N.T And S.B.C Girls,Yes,Yes,Pre-matric scholarship to encourage education among girls from VJNT and SBC communities.,N/A,11,15,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Maharashtra,No,No,None,No,Scholarship,Single,No,Student,Both,State,Maharashtra
Incentive to Owners of AI Born Female Calf,Yes,No,Incentive for owners of AI-born female calves to promote indigenous cow breeding.,https://www.egovtschemes.com/incentiveN/AtoN/AownersN/AofN/AartificialN/AinseminationN/AbornN/AfemaleN/AcalfN/AthroughN/ApureN/AbreedingN/AinN/AindigenousN/Acow/?utm_source=chatgpt.com,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Gujarat,No,No,None,No,Financial,All,No,Self-Employed,Both,State,Gujarat
Girl Students Health & Hygiene Scheme,Yes,No,Sanitary napkin distribution and hygiene promotion to retain girls in school.,N/A,11,15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Health'],Health,Arunachal Pradesh,No,No,None,No,Subsidy,Single,No,Student,Both,State,Arunachal Pradesh
Subsidy Scheme for Goat Unit (10+1) for ST Women,Yes,Yes,Subsidy for setting up goat units to empower Scheduled Tribe women in livestock rearing.,https://www.egovtschemes.com/unemployedN/AyouthN/AemploymentN/AgenerationN/Aprogramme/?utm_source=chatgpt.com,18,100,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Gujarat,No,No,None,No,Subsidy,Single,Yes,Self-Employed,Both,State,Gujarat
Mahila Kamgar Kaushal Unnayan Yojana,Yes,Yes,Skill development and empowerment program for women in unorganized sectors including domestic workers.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,Chhattisgarh,No,No,None,No,Training,Single,Yes,Other,Both,State,Chhattisgarh
Maternity Benefit/Delivery Assistance (KBOCWWB),Yes,Yes,Maternity support for up to two deliveries for women construction workers in Karnataka.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Health'],Health,Karnataka,No,No,None,No,Financial,Married,No,Other,Both,State,Karnataka
Marriage Incentive Reward Scheme,Yes,Yes,Marriage reward scheme for disabled persons to promote social security and dignity.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Financial Support', 'Social Welfare']",Financial Support,Uttar Pradesh,No,No,Unspecified,Yes,Financial,Married,No,Other,Both,State,Uttar Pradesh
Mahila Samriddhi Yojana for Minority Community,Yes,Yes,"Loans up to ₹1,00,000 for women entrepreneurs from minority communities through SHGs.",https://web.umang.gov.in/landing/scheme/detail/creditN/AbasedN/AschemesN/AforN/AscN/AmahilaN/AsamriddhiN/Ayojana_cbsscN/Amsy.html?utm_source=chatgpt.com,18,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,Unspecified,['Financial Support'],Financial Support,Haryana,Yes (Unspecified),Yes,None,No,Loan,Single,No,Self-Employed,Both,State,Haryana
Construction of Hostels for OBC Boys and Girls,No,No,Hostel facilities to OBC students from rural areas to support secondary and higher education.,N/A,12,25,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Infrastructure'],Infrastructure,All India,No,No,None,No,Other,Single,No,Student,Both,Central,India
Mukhyamantri Mahila Udyami Yojana,Yes,Yes,"Financial assistance up to ₹10,00,000 to promote women entrepreneurship among youth in Bihar.",https://testbook.com/iasN/Apreparation/mukhyamantriN/AmahilaN/AudyamiN/Ayojana?utm_source=chatgpt.com,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,Unspecified,"['Women Welfare', 'Business']",Women Welfare,Bihar,No,No,None,No,Financial,Single,No,Self-Employed,Both,State,Bihar
Savitribai Phule Scholarship For V.J.N.T And S.B.C Girls,Yes,Yes,Pre-matric scholarship to encourage education among girls from VJNT and SBC communities.,https://mahadbt.maharashtra.gov.in/SchemeData/SchemeData?str=E9DDFA703C38E51A8FE969DA87030502&utm_source=chatgpt.com,13,15,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Maharashtra,No,No,None,No,Scholarship,Single,No,Student,Both,State,Maharashtra
Incentive to Owners of AI Born Female Calf,Yes,No,Incentive for owners of AI-born female calves to promote indigenous cow breeding.,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Gujarat,No,No,None,No,Financial,All,No,Self-Employed,Both,State,Gujarat
Girl Students Health & Hygiene Scheme,Yes,No,Sanitary napkin distribution and hygiene promotion to retain girls in school.,N/A,11,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Health'],Health,Arunachal Pradesh,No,No,None,No,Subsidy,Single,No,Student,Both,State,Arunachal Pradesh
Subsidy Scheme for Goat Unit (10+1) for ST Women,Yes,Yes,Subsidy for setting up goat units to empower Scheduled Tribe women in livestock rearing.,https://www.egovtschemes.com/subsidyN/AschemeN/AforN/AestablishmentN/AofN/AgoatN/AunitN/A101N/AforN/AscheduledN/AtribeN/Awomen/?utm_source=chatgpt.com,18,100,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Gujarat,No,No,None,No,Subsidy,Single,Yes,Self-Employed,Both,State,Gujarat
Mahila Kamgar Kaushal Unnayan Yojana,Yes,Yes,Skill development and empowerment program for women in unorganized sectors including domestic workers.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,Chhattisgarh,No,No,None,No,Training,Single,Yes,Other,Both,State,Chhattisgarh
Maternity Benefit/Delivery Assistance (KBOCWWB),Yes,Yes,Maternity support for up to two deliveries for women construction workers in Karnataka.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Health'],Health,Karnataka,No,No,None,No,Financial,Married,No,Other,Both,State,Karnataka
Marriage Incentive Reward Scheme,Yes,Yes,Marriage reward scheme for disabled persons to promote social security and dignity.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Financial Support', 'Social Welfare']",Financial Support,Uttar Pradesh,No,No,Unspecified,Yes,Financial,Married,No,Other,Both,State,Uttar Pradesh
Assistance of Concentrate Feed for Pregnant Animals (ST Category),Yes,Yes,Free concentrate feed provided to pregnant cattle owned by ST livestock owners to ensure health and increase milk production.,N/A,0,100,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Gujarat,No,No,None,No,Subsidy,All,Yes,Self-Employed,Both,State,Gujarat
Scheme for Management and Purchase of Bulls for Breeding,Yes,No,Financial assistance to Gaushalas for breeding pure Gir and Kankrej bulls to promote indigenous cattle breeds.,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Gujarat,No,No,None,No,Financial,All,No,Other,Both,State,Gujarat
COP-34 Interest Subvention Scheme (Kisan Credit Card),Yes,Yes,Interest subsidy for farmers who repay their KCC crop loans on time to encourage financial discipline and improve productivity.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Financial Support', 'Agriculture']",Financial Support,Gujarat,No,No,None,No,Subsidy,All,Yes,Self-Employed,Both,State,Gujarat
Anya Pichhda Varg Kalyan Chhatravaas,Yes,Yes,"Hostel facility with ₹1,000/month grant and 15 kg free food grains for students from backward classes.",https://state.bihar.gov.in/bcebcwelfare/?utm_source=chatgpt.com,12,25,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Bihar,No,No,None,No,Financial,Single,Yes,Student,Both,State,Bihar
Scheme to Give Incentive-Prize to Gaushala/Panjrapole,Yes,No,Incentives to best-performing Gaushalas and Panjrapoles for improved management and cattle welfare.,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,"['Social Welfare', 'Agriculture']",Social Welfare,Gujarat,No,No,None,No,Financial,All,No,Other,Both,State,Gujarat
Nagaland Stipend for Girls of Secondary Students,Yes,Yes,Monthly stipend for two girl students per class in Govt. schools to support education for girls from economically weaker families.,N/A,14,16,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Nagaland,No,No,None,No,Scholarship,Single,Yes,Student,Both,State,Nagaland
Free Pre-Recruitment Training,No,Yes,"Free training for sons of ex-servicemen for recruitment in Army, Para-Military, and Police forces.",https://sainikkalyan.uk.gov.in/notice/openN/AhouseN/AsessionN/A3/?utm_source=chatgpt.com,18,25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,Uttarakhand,No,No,None,No,Training,Single,No,Student,Both,State,Uttarakhand
Assistance for Cultivation of Medicinal/Aromatic Crops,Yes,Yes,"Financial assistance up to 75% of cost or ₹11,250/ha for cultivating medicinal and aromatic crops.",N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Gujarat,No,No,None,No,Financial,All,Yes,Self-Employed,Both,State,Gujarat
Scheme to Encourage Farmers to Add Value to Crops,Yes,Yes,Financial assistance for machinery purchases to encourage farmers to add value to crops.,https://nlm.udyamimitra.in/Home/SchemePage?utm_source=chatgpt.com,18,100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Gujarat,No,No,None,No,Subsidy,All,Yes,Self-Employed,Both,State,Gujarat
Indira Gandhi National Widow Pension Scheme (Maharashtra),Yes,Yes,Widow pension of ₹1500 per month for women aged 40-79 from BPL families under IGNWPS in Maharashtra.,N/A,40,79,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,BPL,"['Women Welfare', 'Social Welfare']",Women Welfare,Maharashtra,No,No,None,No,Pension,Widowed,Yes,Other,Both,Central,Maharashtra
"Special Incentive Scheme for Women of Tharu, Boksa and Other Tribes",Yes,Yes,"Financial assistance for travel, logistics, and stall rent for tribal women artisans participating in training and marketing events.",N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,Uttarakhand,No,No,None,No,Financial,Single,No,Self-Employed,Both,State,Uttarakhand
Chief Minister Hunar Yojana,Yes,Yes,Free skill training and stipend to minority candidates to promote employability and financial independence.,N/A,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,Uttarakhand,Yes (Unspecified),Yes,None,No,Composite / Multi,All,No,Unemployed,Both,State,Uttarakhand
Rythu Bima Scheme,Yes,Yes,"Free life insurance coverage for farmers under LIC, benefit provided to nominee on farmer’s death.",N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Telangana,No,No,None,No,Insurance,Single,No,Self-Employed,Both,State,Telangana
Pre-Examination Coaching Scheme,Yes,Yes,"Free coaching and monthly scholarship for ST students preparing for competitive exams like IAS, PCS, engineering, etc.",N/A,18,30,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Uttarakhand,No,No,None,No,Scholarship,Single,No,Student,Both,State,Uttarakhand
Rani Lakshmi Bai Atma Raksha Prashikshan Yojana,No,Yes,"Free martial arts, judo, boxing, karate, and self-defense training for girl students in government schools.",https://www.indiascienceandtechnology.gov.in/nurturingN/Aminds/scholarships/postN/Adoctoral/ugcN/ApostN/AdoctoralN/AfellowshipN/AwomenN/Acandidates?utm_source=chatgpt.com,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Uttarakhand,No,No,None,No,Training,Single,No,Student,Both,State,Uttarakhand
Natural Death Assistance for Construction Workers (UKBOCWWB),Yes,Yes,"₹2,00,000 financial assistance to the nominee of a deceased construction worker in case of natural death.",N/A,18,60,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Uttarakhand,No,No,None,No,Financial,Single,No,Other,Both,State,Uttarakhand
Scheduled Tribe/Scheduled Caste Sub Plan,Yes,Yes,60% subsidy on pond construction and related fishery investments for SC/ST communities to boost fish production.,https://medak.telangana.gov.in/scheme/kalyanaN/AlakshmiN/AshaadiN/Amubarak/?utm_source=chatgpt.com,18,100,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Agriculture'],Agriculture,Uttarakhand,No,No,None,No,Subsidy,All,No,Self-Employed,Both,State,Uttarakhand
Ladies Vocational Centres,Yes,Yes,"Free training in cutting, embroidery, knitting, stenography, and other trades to promote women’s self-employment.",N/A,16,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,Jammu & Kashmir,No,No,None,No,Composite / Multi,Single,No,Unemployed,Both,State,Jammu & Kashmir
Shaadi Mubarak Scheme,Yes,Yes,Financial assistance for marriage of girls from minority communities to prevent child marriage and support economically distressed families.,https://hwfap.org/schemes/shaadiN/AmubarakN/AschemeN/Atelangana/?utm_source=chatgpt.com,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Social Welfare'],Social Welfare,Telangana,Yes (Unspecified),Yes,None,No,Financial,Single,Yes,Other,Both,State,Telangana
Post Doctoral Fellowship To Women Candidates,Yes,Yes,Fellowship for unemployed women Ph.D. holders to pursue advanced studies and research through UGC support.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Other,No,No,None,No,Fellowship,Single,No,Unemployed,Online,Central,India
Vocational Training of Destitute Women and Adolescent Girls,Yes,Yes,"6-month vocational training in tailoring, embroidery, and computers for destitute women and adolescent girls.",N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Skill Development'],Skill Development,Manipur,No,No,None,No,Training,Single,No,Unemployed,Both,State,Manipur
Maharishi Balmiki Chatravriti Yojana,Yes,Yes,"Scholarship of ₹18,000 per annum for female students from Balmiki families pursuing higher and professional education.",https://theglobalscholarship.org/scholarships/maharishi-balmiki-chatravriti-yojana-2024?source=main&utm_source=chatgpt.com,18,100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,Himachal Pradesh,No,No,None,No,Scholarship,Single,No,Student,Both,State,Himachal Pradesh
Kanyashree Prakalpa,Yes,Yes,Scholarship and grants to encourage girl education and prevent child marriage among disadvantaged families.,https://en.wikipedia.org/wiki/Kanyashree_Prakalpa?utm_source=chatgpt.com,13,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Education'],Education,West Bengal,No,No,None,No,Scholarship,Single,Yes,Student,Both,State,West Bengal
Tripura Scheme For Incentive To Girl Child,Yes,Yes,Monthly ₹300 incentive for girl children born after 01/06/2009 to BPL families until the age of 15.,N/A,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,BPL,['Financial Support'],Financial Support,Tripura,No,No,None,No,Other,Single,Yes,Student,Both,State,Tripura
Ladli Beti Scheme,Yes,Yes,Financial assistance scheme for newborn girl children to arrest the declining sex ratio and support their welfare.,https://services.india.gov.in/service/detail/apply-for-ladli-beti-scheme-jammu-and-kashmir?utm_source=chatgpt.com,0,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,['Financial Support'],Financial Support,Jammu & Kashmir,No,No,None,No,Financial,Single,No,Other,Both,State,Jammu & Kashmir
Back-To-Lab Post-Doctoral Fellowship Programme,Yes,Yes,Fellowship for women scientists with career breaks to re-enter research.,N/A,18,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,Unspecified,[],Other,Kerala,No,No,None,No,Fellowship,Single,No,Unemployed,Online,State,Kerala
